field_position,field_name,official_field_name,description,enumerations,sf_loan_performance_applicability,type,max_length
1,reference_pool_id,Reference Pool ID,A unique identifier for the reference pool.,,NA,ALPHA-NUMERIC,X(4)
2,loan_identifier,Loan Identifier,A unique identifier for the mortgage loan.,,√,ALPHA-NUMERIC,X(12)
3,monthly_reporting_period,Monthly Reporting Period,The month and year that pertains to the servicer’s cut-off period for mortgage loan information.,,√,DATE,MMYYYY
4,channel,Channel,The origination channel used by the party that delivered the loan to the issuer.,"R = Retail
C = Correspondent
B = Broker",√,ALPHA-NUMERIC,X(1)
5,seller_name,Seller Name,The name of the entity that delivered the mortgage loan to Fannie Mae.,,√,ALPHA-NUMERIC,X(50)
6,servicer_name,Servicer Name,The name of the entity that serves as the primary servicer of the mortgage loan.,,√,ALPHA-NUMERIC,X(50)
7,master_servicer,Master Servicer,Fannie Mae,,NA,ALPHA-NUMERIC,X(10)
8,original_interest_rate,Original Interest Rate,The original interest rate on a mortgage loan as identified in the original mortgage note.,,√,NUMERIC,9(2).999
9,current_interest_rate,Current Interest Rate,The rate of interest in effect for the periodic installment due.,,√,NUMERIC,9(2).999
10,original_upb,Original UPB,The dollar amount of the loan as stated on the note at the time the loan was originated.,,√,NUMERIC,9(10).99
11,upb_at_issuance,UPB at Issuance,The unpaid principal balance of the loan as of the cut-off date of the reference pool.,,NA,NUMERIC,9(10).99
12,current_actual_upb,Current Actual UPB,"The current actual outstanding unpaid principal balance of a mortgage loan, reflective of payments actually received from the related borrower.",,√,NUMERIC,9(10).99
13,original_loan_term,Original Loan Term,"For fixed-rate, adjustable-rate and Interest-only mortgages, the number of months in which regularly scheduled borrower payments are due at the time the loan was originated.",,√,NUMERIC,9(3)
14,origination_date,Origination Date,The date of each individual note.,,√,DATE,MMYYYY
15,first_payment_date,First Payment Date,The date of the first scheduled mortgage loan payment to be made by the borrower under the terms of the mortgage loan documents.,,√,DATE,MMYYYY
16,loan_age,Loan Age,"The number of calendar months since the mortgage loan's origination date. For purposes of calculating this data element, origination means the date on which the first full month of interest begins to accrue.",,√,NUMERIC,9(3)
17,remaining_months_to_legal_maturity,Remaining Months to Legal Maturity,The number of calendar months remaining until the mortgage loan is due to be paid in full based on the maturity date as defined in the mortgage documents.,,√,NUMERIC,9(3)
18,remaining_months_to_maturity,Remaining Months To Maturity,"The number of calendar months remaining until the outstanding unpaid principal balance of the mortgage loan amortizes to a zero balance, taking into account any additional prepayments, which could lead to the loan paying off earlier than its maturity date.",,√,NUMERIC,9(3)
19,maturity_date,Maturity Date,The month and year in which a mortgage loan is scheduled to be paid in full as defined in the mortgage loan documents.,,√,DATE,MMYYYY
