acquisition_cohort,delinquency_band,loan_month_rows,share_pct
2006Q1,00: current,16681183,91.6637
2006Q1,01: 30 DPD,493525,2.7119
2006Q1,02: 60 DPD,156515,0.8601
2006Q1,03+: 90+ DPD,629829,3.4609
2006Q1,99: other/unknown,2199,0.0121
2006Q1,XX: unknown,234986,1.2913
2008Q1,00: current,20181177,90.0334
2008Q1,01: 30 DPD,653592,2.9158
2008Q1,02: 60 DPD,230247,1.0272
2008Q1,03+: 90+ DPD,994141,4.4351
2008Q1,99: other/unknown,3992,0.0178
2008Q1,XX: unknown,352070,1.5707
2012Q1,00: current,49621741,98.4236
2012Q1,01: 30 DPD,218503,0.4334
2012Q1,02: 60 DPD,49982,0.0991
2012Q1,03+: 90+ DPD,132539,0.2629
2012Q1,99: other/unknown,90,0.0002
2012Q1,XX: unknown,393675,0.7808
2016Q1,00: current,25577572,97.7118
2016Q1,01: 30 DPD,208907,0.7981
2016Q1,02: 60 DPD,58124,0.222
2016Q1,03+: 90+ DPD,181604,0.6938
2016Q1,99: other/unknown,11,0.0
2016Q1,XX: unknown,150339,0.5743
2020Q1,00: current,26896735,97.7314
2020Q1,01: 30 DPD,223308,0.8114
2020Q1,02: 60 DPD,81601,0.2965
2020Q1,03+: 90+ DPD,319422,1.1606
2020Q1,XX: unknown,1,0.0
2022Q1,00: current,36221023,98.4957
2022Q1,01: 30 DPD,310316,0.8438
2022Q1,02: 60 DPD,76639,0.2084
2022Q1,03+: 90+ DPD,166239,0.4521
2024Q1,00: current,4379177,98.8524
2024Q1,01: 30 DPD,28282,0.6384
2024Q1,02: 60 DPD,7311,0.165
2024Q1,03+: 90+ DPD,15245,0.3441
