reporting_month,loan_month_rows,dpd_30plus_pct,dpd_90plus_pct
2006-01-01,88560,0.2563,0.0
2006-02-01,167401,0.7049,0.0
2006-03-01,252750,0.5048,0.0036
2006-04-01,252020,0.8456,0.0139
2006-05-01,251033,0.7824,0.0295
2006-06-01,249648,0.8488,0.0389
2006-07-01,248079,1.0235,0.0576
2006-08-01,246718,1.1345,0.0754
2006-09-01,245115,1.4197,0.1053
2006-10-01,243510,1.441,0.1404
2006-11-01,241572,1.6972,0.1652
2006-12-01,239716,2.0462,0.2082
2007-01-01,237539,1.8119,0.24
2007-02-01,235389,2.0893,0.2664
2007-03-01,233439,1.7294,0.2742
2007-04-01,231107,1.8671,0.2968
2007-05-01,228751,1.9541,0.32
2007-06-01,226275,2.135,0.3513
2007-07-01,224077,2.197,0.3789
2007-08-01,222229,2.2315,0.4342
2007-09-01,220404,2.7713,0.4837
2007-10-01,218984,2.5609,0.5352
2007-11-01,217276,2.8024,0.6121
2007-12-01,215729,3.0589,0.6837
2008-01-01,301228,2.2209,0.5282
2008-02-01,478610,1.5649,0.3462
2008-03-01,589444,1.4349,0.294
2008-04-01,585448,1.6307,0.3363
2008-05-01,581228,1.7372,0.3837
2008-06-01,577454,1.9681,0.4478
2008-07-01,574032,2.0866,0.5217
2008-08-01,571110,2.5277,0.5995
2008-09-01,568630,2.7818,0.72
2008-10-01,566193,2.9801,0.8605
2008-11-01,562946,3.8068,1.0383
2008-12-01,560944,3.9574,1.267
2009-01-01,556879,4.3557,1.5318
2009-02-01,547058,4.7123,1.7378
2009-03-01,535058,4.7249,2.0003
2009-04-01,524383,5.2435,2.3052
2009-05-01,513574,5.9762,2.6068
2009-06-01,501845,6.3832,2.9457
2009-07-01,491137,6.8683,3.3681
2009-08-01,483245,7.5742,3.7801
2009-09-01,477788,8.2087,4.2678
2009-10-01,472827,8.5917,4.7165
2009-11-01,466841,9.3092,5.2178
2009-12-01,459983,9.5832,5.5328
2010-01-01,452401,10.1991,5.8824
2010-02-01,446261,10.553,6.1038
2010-03-01,441337,9.7585,6.072
2010-04-01,435077,9.7399,5.996
2010-05-01,429031,10.0361,5.894
2010-06-01,423710,9.8279,5.7662
2010-07-01,417048,9.7871,5.6655
2010-08-01,409499,9.8115,5.6471
2010-09-01,399769,10.0075,5.6608
2010-10-01,389813,10.3878,5.7682
2010-11-01,380197,10.432,5.9356
2010-12-01,370394,10.5498,6.0568
2011-01-01,361099,10.8319,6.2288
2011-02-01,354050,11.0917,6.4047
2011-03-01,348449,10.2087,6.287
2011-04-01,342617,10.4417,6.2907
2011-05-01,337629,10.508,6.3274
2011-06-01,332859,10.6787,6.3288
2011-07-01,327606,11.0337,6.3836
2011-08-01,322887,10.9109,6.3871
2011-09-01,317454,11.0432,6.4362
2011-10-01,311724,11.1775,6.5645
2011-11-01,305715,11.4702,6.6941
2011-12-01,299335,11.4808,6.7115
2012-01-01,469507,7.2521,4.2658
2012-02-01,643676,5.2032,3.0637
2012-03-01,918394,3.4713,2.0779
2012-04-01,910960,3.5131,2.0598
2012-05-01,902847,3.4871,2.0296
2012-06-01,892987,3.5371,2.0425
2012-07-01,882075,3.503,2.0412
2012-08-01,868596,3.4629,2.0259
2012-09-01,851181,3.7632,2.0453
2012-10-01,835935,3.6052,2.0425
2012-11-01,818044,3.6533,2.0595
2012-12-01,800058,3.7575,2.0815
2013-01-01,782595,3.6558,2.0496
2013-02-01,764999,3.7546,2.0641
2013-03-01,751254,3.5659,2.0309
2013-04-01,737938,3.4752,2.0114
2013-05-01,724796,3.3887,1.9781
2013-06-01,709865,3.6314,1.9681
2013-07-01,696972,3.4524,1.9408
2013-08-01,685908,3.4196,1.9048
2013-09-01,677192,3.4422,1.8899
2013-10-01,670769,3.3318,1.8491
2013-11-01,664491,3.484,1.8277
2013-12-01,658979,3.4089,1.7957
2014-01-01,653234,3.263,1.764
2014-02-01,648525,3.2637,1.7449
2014-03-01,644430,3.0619,1.6855
2014-04-01,639555,3.0063,1.6386
2014-05-01,634217,3.0171,1.6015
2014-06-01,628705,3.0401,1.5821
2014-07-01,622664,2.986,1.5679
2014-08-01,616721,3.1956,1.5581
2014-09-01,610997,3.0504,1.5417
2014-10-01,605475,2.9218,1.5162
2014-11-01,599958,3.1852,1.5173
2014-12-01,595148,2.9939,1.5134
2015-01-01,589571,2.9968,1.4894
2015-02-01,584905,3.0078,1.4722
2015-03-01,579299,2.7255,1.4274
2015-04-01,571808,2.756,1.4061
2015-05-01,564944,2.8978,1.3814
2015-06-01,558213,2.8129,1.3699
2015-07-01,550943,2.7578,1.3589
2015-08-01,544246,2.8829,1.361
2015-09-01,538520,2.9256,1.3537
2015-10-01,532769,2.9748,1.3526
2015-11-01,527107,3.088,1.3756
2015-12-01,522434,2.9521,1.3544
2016-01-01,648192,2.5019,1.0972
2016-02-01,769884,2.0347,0.8968
2016-03-01,913731,1.5978,0.7174
2016-04-01,907286,1.7222,0.7047
2016-05-01,900335,1.6595,0.7013
2016-06-01,892325,1.6762,0.6735
2016-07-01,882812,1.7749,0.6682
2016-08-01,873359,1.6708,0.6436
2016-09-01,859515,1.7455,0.6562
2016-10-01,846549,1.83,0.6603
2016-11-01,834485,1.8765,0.6858
2016-12-01,823331,1.9065,0.6817
2017-01-01,813369,1.865,0.6912
2017-02-01,806695,1.9989,0.6954
