acquisition_cohort,feature,mean_abs_shap
2012Q1,num__original_interest_rate,0.5682265758514404
2012Q1,num__original_upb,0.030937151983380318
2012Q1,num__original_loan_term,0.01910793036222458
2012Q1,num__original_loan_to_value_ratio_ltv,0.03392549976706505
2012Q1,num__original_combined_loan_to_value_ratio_cltv,0.0209712702780962
2012Q1,num__number_of_borrowers,0.11287875473499298
2012Q1,num__debt_to_income_dti,0.08499988913536072
2012Q1,num__borrower_credit_score_at_origination,0.7456797361373901
2012Q1,num__co_borrower_credit_score_at_origination,0.20217902958393097
2012Q1,num__mortgage_insurance_percentage,0.002297251019626856
2012Q1,num__current_interest_rate,0.04442086070775986
2012Q1,num__current_actual_upb,0.05361897870898247
2012Q1,num__loan_age,0.28620845079421997
2012Q1,num__remaining_months_to_legal_maturity,0.06529387831687927
2012Q1,num__remaining_months_to_maturity,0.23288659751415253
2012Q1,cat__channel,0.08211146295070648
2012Q1,cat__first_time_home_buyer_indicator,0.007954110391438007
2012Q1,cat__loan_purpose,0.03326433151960373
2012Q1,cat__property_type,0.05022113770246506
2012Q1,cat__number_of_units,0.0024445548187941313
2012Q1,cat__occupancy_status,0.006467775907367468
2012Q1,cat__property_state,0.05308042839169502
2012Q1,cat__amortization_type,0.0
2012Q1,cat__current_loan_delinquency_status,0.0
2012Q1,cat__modification_flag,0.03117554262280464
2016Q1,num__original_interest_rate,0.5870658159255981
2016Q1,num__original_upb,0.025108927860856056
2016Q1,num__original_loan_term,0.015577212907373905
2016Q1,num__original_loan_to_value_ratio_ltv,0.04251429811120033
2016Q1,num__original_combined_loan_to_value_ratio_cltv,0.026835676282644272
2016Q1,num__number_of_borrowers,0.11476345360279083
2016Q1,num__debt_to_income_dti,0.0799446851015091
2016Q1,num__borrower_credit_score_at_origination,0.7010820508003235
2016Q1,num__co_borrower_credit_score_at_origination,0.16607260704040527
2016Q1,num__mortgage_insurance_percentage,0.0037778455298393965
2016Q1,num__current_interest_rate,0.03965054452419281
2016Q1,num__current_actual_upb,0.05580829083919525
2016Q1,num__loan_age,0.23559412360191345
2016Q1,num__remaining_months_to_legal_maturity,0.058912940323352814
2016Q1,num__remaining_months_to_maturity,0.18231144547462463
2016Q1,cat__channel,0.07726991921663284
2016Q1,cat__first_time_home_buyer_indicator,0.017010539770126343
2016Q1,cat__loan_purpose,0.04532141238451004
2016Q1,cat__property_type,0.057017166167497635
2016Q1,cat__number_of_units,0.0021658428013324738
2016Q1,cat__occupancy_status,0.00607939762994647
2016Q1,cat__property_state,0.050475168973207474
2016Q1,cat__amortization_type,0.0
2016Q1,cat__current_loan_delinquency_status,0.0
2016Q1,cat__modification_flag,0.03735487535595894
2020Q1,num__original_interest_rate,0.6573026776313782
2020Q1,num__original_upb,0.02855881303548813
2020Q1,num__original_loan_term,0.015391616150736809
2020Q1,num__original_loan_to_value_ratio_ltv,0.05022362992167473
2020Q1,num__original_combined_loan_to_value_ratio_cltv,0.026157598942518234
2020Q1,num__number_of_borrowers,0.11913377791643143
2020Q1,num__debt_to_income_dti,0.10155922174453735
2020Q1,num__borrower_credit_score_at_origination,0.7041537761688232
2020Q1,num__co_borrower_credit_score_at_origination,0.1629406213760376
2020Q1,num__mortgage_insurance_percentage,0.004636026453226805
2020Q1,num__current_interest_rate,0.05537742003798485
2020Q1,num__current_actual_upb,0.05396711453795433
2020Q1,num__loan_age,0.12111406028270721
2020Q1,num__remaining_months_to_legal_maturity,0.07332280278205872
2020Q1,num__remaining_months_to_maturity,0.14308689534664154
2020Q1,cat__channel,0.09279727190732956
2020Q1,cat__first_time_home_buyer_indicator,0.022247791290283203
2020Q1,cat__loan_purpose,0.04574757441878319
2020Q1,cat__property_type,0.04974699765443802
2020Q1,cat__number_of_units,0.002792073180899024
2020Q1,cat__occupancy_status,0.00487448088824749
2020Q1,cat__property_state,0.05381520465016365
2020Q1,cat__amortization_type,0.0
2020Q1,cat__current_loan_delinquency_status,0.0
2020Q1,cat__modification_flag,0.038486845791339874
2022Q1,num__original_interest_rate,0.7611975073814392
2022Q1,num__original_upb,0.0440242737531662
2022Q1,num__original_loan_term,0.013970634900033474
2022Q1,num__original_loan_to_value_ratio_ltv,0.05730640888214111
2022Q1,num__original_combined_loan_to_value_ratio_cltv,0.028544927015900612
2022Q1,num__number_of_borrowers,0.12167615443468094
2022Q1,num__debt_to_income_dti,0.10296519100666046
2022Q1,num__borrower_credit_score_at_origination,0.705583393573761
2022Q1,num__co_borrower_credit_score_at_origination,0.14621219038963318
2022Q1,num__mortgage_insurance_percentage,0.004025103524327278
2022Q1,num__current_interest_rate,0.0740174800157547
2022Q1,num__current_actual_upb,0.0656432956457138
2022Q1,num__loan_age,0.13187961280345917
2022Q1,num__remaining_months_to_legal_maturity,0.08373292535543442
2022Q1,num__remaining_months_to_maturity,0.1697312891483307
2022Q1,cat__channel,0.10255037993192673
2022Q1,cat__first_time_home_buyer_indicator,0.023737838491797447
2022Q1,cat__loan_purpose,0.040579166263341904
2022Q1,cat__property_type,0.04259057343006134
2022Q1,cat__number_of_units,0.0026722114998847246
2022Q1,cat__occupancy_status,0.006985366344451904
2022Q1,cat__property_state,0.05366877093911171
2022Q1,cat__amortization_type,0.0
2022Q1,cat__current_loan_delinquency_status,0.0
2022Q1,cat__modification_flag,0.029104558750987053
2024Q1,num__original_interest_rate,0.5802943110466003
2024Q1,num__original_upb,0.08710448443889618
2024Q1,num__original_loan_term,0.010600747540593147
2024Q1,num__original_loan_to_value_ratio_ltv,0.0967579334974289
2024Q1,num__original_combined_loan_to_value_ratio_cltv,0.04920089244842529
2024Q1,num__number_of_borrowers,0.17002154886722565
2024Q1,num__debt_to_income_dti,0.10419406741857529
2024Q1,num__borrower_credit_score_at_origination,0.6732040047645569
2024Q1,num__co_borrower_credit_score_at_origination,0.11723428219556808
2024Q1,num__mortgage_insurance_percentage,0.004110479727387428
2024Q1,num__current_interest_rate,0.14878517389297485
