feature,mean_abs_shap
num__borrower_credit_score_at_origination,0.7039782
num__original_interest_rate,0.6806479
num__remaining_months_to_maturity,0.17571512
num__loan_age,0.16268365
num__co_borrower_credit_score_at_origination,0.15541157
num__number_of_borrowers,0.12209173
num__debt_to_income_dti,0.09850634
cat__channel,0.09508273
num__remaining_months_to_legal_maturity,0.07793748
num__current_interest_rate,0.06629094
num__current_actual_upb,0.06445707
cat__property_state,0.054238677
num__original_loan_to_value_ratio_ltv,0.05367577
cat__property_type,0.0461347
cat__loan_purpose,0.0432595
num__original_upb,0.038758725
cat__modification_flag,0.03500592
num__original_combined_loan_to_value_ratio_cltv,0.028177807
cat__first_time_home_buyer_indicator,0.022142587
num__original_loan_term,0.014918614
cat__occupancy_status,0.006464958
num__mortgage_insurance_percentage,0.0039834348
cat__number_of_units,0.0026612137
cat__amortization_type,0.0
cat__current_loan_delinquency_status,0.0
