feature,validation_mean_abs_shap,oot_mean_abs_shap,validation_rank,oot_rank,absolute_rank_change
num__borrower_credit_score_at_origination,0.72246563,0.7039782,1,1,0
num__original_interest_rate,0.5820266,0.6806479,2,2,0
num__remaining_months_to_maturity,0.18043578,0.17571512,5,3,2
num__loan_age,0.19571415,0.16268365,3,4,1
num__co_borrower_credit_score_at_origination,0.18561128,0.15541157,4,5,1
num__number_of_borrowers,0.11963071,0.12209173,6,6,0
num__debt_to_income_dti,0.092698164,0.09850634,7,7,0
cat__channel,0.08860545,0.09508273,8,8,0
num__remaining_months_to_legal_maturity,0.076332785,0.07793748,9,9,0
num__current_interest_rate,0.04290185,0.06629094,15,10,5
num__current_actual_upb,0.05779809,0.06445707,10,11,1
cat__property_state,0.05100715,0.054238677,11,12,1
num__original_loan_to_value_ratio_ltv,0.045542195,0.05367577,13,13,0
cat__property_type,0.046282362,0.0461347,12,14,2
cat__loan_purpose,0.043493498,0.0432595,14,15,1
num__original_upb,0.030402128,0.038758725,17,16,1
cat__modification_flag,0.039196983,0.03500592,16,17,1
num__original_combined_loan_to_value_ratio_cltv,0.024667224,0.028177807,18,18,0
cat__first_time_home_buyer_indicator,0.018818613,0.022142587,19,19,0
num__original_loan_term,0.015792953,0.014918614,20,20,0
cat__occupancy_status,0.0065954276,0.006464958,21,21,0
num__mortgage_insurance_percentage,0.0037543415,0.0039834348,22,22,0
cat__number_of_units,0.0026168032,0.0026612137,23,23,0
cat__amortization_type,0.0,0.0,24,24,0
cat__current_loan_delinquency_status,0.0,0.0,24,24,0
