feature,mean_abs_shap
num__original_interest_rate,1.5057541
cat__current_loan_delinquency_status,1.1073575
num__borrower_credit_score_at_origination,0.4924276
num__loan_age,0.2425324
num__remaining_months_to_maturity,0.2416835
num__current_interest_rate,0.23089536
num__number_of_borrowers,0.21078362
num__co_borrower_credit_score_at_origination,0.18868428
num__debt_to_income_dti,0.17821477
num__original_combined_loan_to_value_ratio_cltv,0.17708927
num__original_loan_to_value_ratio_ltv,0.12692055
cat__loan_purpose,0.12553017
cat__property_state,0.12477414
num__remaining_months_to_legal_maturity,0.09589683
num__current_actual_upb,0.087667696
cat__modification_flag,0.059802014
num__original_upb,0.05675121
cat__channel,0.03601917
cat__occupancy_status,0.0236915
num__original_loan_term,0.01532099
cat__property_type,0.014643106
cat__first_time_home_buyer_indicator,0.01118015
num__mortgage_insurance_percentage,0.0024156685
cat__number_of_units,0.0014674307
cat__amortization_type,0.0
