feature,validation_mean_abs_shap,oot_mean_abs_shap,validation_rank,oot_rank,absolute_rank_change
num__original_interest_rate,1.4077637,1.5057541,1,1,0
cat__current_loan_delinquency_status,1.1229383,1.1073575,2,2,0
num__borrower_credit_score_at_origination,0.48488104,0.4924276,3,3,0
num__loan_age,0.27702868,0.2425324,4,4,0
num__remaining_months_to_maturity,0.26054096,0.2416835,5,5,0
num__current_interest_rate,0.18968132,0.23089536,8,6,2
num__number_of_borrowers,0.20914488,0.21078362,7,7,0
num__co_borrower_credit_score_at_origination,0.21203414,0.18868428,6,8,2
num__debt_to_income_dti,0.17845833,0.17821477,9,9,0
num__original_combined_loan_to_value_ratio_cltv,0.15049364,0.17708927,10,10,0
num__original_loan_to_value_ratio_ltv,0.11163091,0.12692055,13,11,2
cat__loan_purpose,0.116533175,0.12553017,11,12,1
cat__property_state,0.114972815,0.12477414,12,13,1
num__remaining_months_to_legal_maturity,0.10770487,0.09589683,14,14,0
num__current_actual_upb,0.079158224,0.087667696,15,15,0
cat__modification_flag,0.06706433,0.059802014,16,16,0
num__original_upb,0.046140514,0.05675121,17,17,0
cat__channel,0.030042801,0.03601917,18,18,0
cat__occupancy_status,0.02426935,0.0236915,19,19,0
num__original_loan_term,0.016547864,0.01532099,20,20,0
cat__property_type,0.013773785,0.014643106,21,21,0
cat__first_time_home_buyer_indicator,0.010221141,0.01118015,22,22,0
num__mortgage_insurance_percentage,0.0022181058,0.0024156685,23,23,0
cat__number_of_units,0.001353953,0.0014674307,24,24,0
cat__amortization_type,0.0,0.0,25,25,0
