cohort,loan_month_rows,loans,current_30plus_dpd_pct,current_90plus_dpd_pct,mean_fico,mean_dti,mean_ltv,mean_original_rate,formal_eligible,formal_adverse_6m_pct,early_eligible,early_deterioration_6m_pct,acquisition_year,acquisition_quarter
2006Q1,18198237,253043,7.0329,3.4609,722.06,37.44,68.46,6.172,15950573.0,1.9972,15354318.0,6.2049,2006,Q1
2006Q3,16561828,271373,8.1932,4.1418,725.12,37.92,69.87,6.653,14155234.0,2.4666,13535640.0,7.0656,2006,Q3
2008Q1,22415219,380832,8.3781,4.4351,730.64,37.68,70.98,5.958,18986874.0,2.6513,18168886.0,7.0331,2008,Q1
2008Q3,17018488,353265,7.3284,3.7267,741.07,38.09,72.42,6.297,14084600.0,2.3458,13527101.0,6.6096,2008,Q3
2012Q1,50416530,637558,0.7954,0.2629,770.29,30.97,67.17,3.937,45960659.0,0.2306,45744814.0,1.3531,2012,Q1
2012Q3,63327850,715316,0.7074,0.2257,770.49,30.7,69.07,3.648,58371166.0,0.202,58123951.0,1.2532,2012,Q3
2014Q3,25548458,394546,1.7208,0.612,751.99,33.58,76.07,4.292,22738093.0,0.532,22504755.0,2.5345,2014,Q3
2016Q1,26176557,405925,1.7139,0.6938,751.7,33.59,74.04,4.035,23291716.0,0.6007,23076343.0,2.4941,2016,Q1
2016Q3,44934155,655131,1.5181,0.6275,757.2,32.87,73.7,3.672,40316680.0,0.556,39991501.0,2.1874,2016,Q3
2018Q3,20051060,500018,3.4394,1.7088,747.45,36.87,77.17,4.851,16373101.0,1.5438,16103081.0,4.2532,2018,Q3
2020Q1,27521067,683742,2.2686,1.1606,756.48,34.92,72.79,3.813,22767064.0,1.0113,22537933.0,2.648,2020,Q1
2020Q3,73790598,1384277,0.816,0.2606,766.1,32.96,70.4,3.086,64924294.0,0.2646,64630680.0,1.558,2020,Q3
2022Q1,36774217,793818,1.5043,0.4521,752.32,35.32,68.73,3.315,31801343.0,0.5304,31536141.0,2.5353,2022,Q1
2022Q3,15236842,377913,2.1384,0.7209,750.48,37.05,74.93,5.44,12844177.0,0.8374,12699282.0,3.2676,2022,Q3
2024Q1,4430015,188502,1.1476,0.3441,759.35,37.48,74.74,6.852,3259201.0,0.5413,3245464.0,2.4135,2024,Q1
2024Q3,5237283,277280,0.9598,0.2482,760.93,37.34,74.43,6.761,3539774.0,0.4814,3531392.0,2.328,2024,Q3
