target,model,bin,mean_predicted_probability,observed_event_rate
early_deterioration_6m,logistic,1,0.0045135478584787826,0.004278582513355843
early_deterioration_6m,logistic,2,0.007118421486606906,0.0059060834214838326
early_deterioration_6m,logistic,3,0.009593446418181599,0.007546157971347583
early_deterioration_6m,logistic,4,0.012960062444388598,0.009814125247665966
early_deterioration_6m,logistic,5,0.017212271867602692,0.012571235879278367
early_deterioration_6m,logistic,6,0.021428936062938955,0.015910282418909984
early_deterioration_6m,logistic,7,0.028022860992722262,0.02109640254835387
early_deterioration_6m,logistic,8,0.03755405645843073,0.03005444468859103
early_deterioration_6m,logistic,9,0.06043685889294502,0.04757768847761003
early_deterioration_6m,logistic,10,0.10439163219744249,0.10531011978912976
early_deterioration_6m,xgboost,1,0.004239199963905898,0.004054217398832411
early_deterioration_6m,xgboost,2,0.006608938282767683,0.005924369520364343
early_deterioration_6m,xgboost,3,0.01128148214026298,0.007532466850052152
early_deterioration_6m,xgboost,4,0.014584646082199153,0.009875173724005152
early_deterioration_6m,xgboost,5,0.018211744049344135,0.012572332365358697
early_deterioration_6m,xgboost,6,0.021166000547380645,0.0152125301298123
early_deterioration_6m,xgboost,7,0.02856980076176271,0.020708923217684687
early_deterioration_6m,xgboost,8,0.03892017190739178,0.029795736578230154
early_deterioration_6m,xgboost,9,0.05824421967994655,0.047790648457007055
early_deterioration_6m,xgboost,10,0.11748687843654752,0.10754008661943824
