target,model,scope,rows,events,event_rate_pct,roc_auc,pr_auc,brier_calibrated,precision_pct,recall_pct,threshold_score
early_deterioration_6m,logistic,all_q3,2445935,62127,2.54001,0.773157,0.09372,0.023859,,,
early_deterioration_6m,logistic,2006Q3,135415,9680,7.1484,0.733682,0.147089,0.063823,,,
early_deterioration_6m,logistic,2008Q3,135589,8884,6.55215,0.732669,0.140219,0.058894,,,
early_deterioration_6m,logistic,2012Q3,581288,7188,1.23656,0.734962,0.044308,0.012063,,,
early_deterioration_6m,logistic,2014Q3,224713,5769,2.56727,0.73849,0.076472,0.024419,,,
early_deterioration_6m,logistic,2016Q3,400126,8795,2.19806,0.740638,0.074361,0.020966,,,
early_deterioration_6m,logistic,2018Q3,160530,6826,4.25216,0.731905,0.107069,0.03946,,,
early_deterioration_6m,logistic,2020Q3,646483,10093,1.56122,0.716892,0.046468,0.015149,,,
early_deterioration_6m,logistic,2022Q3,126437,4141,3.27515,0.740985,0.089001,0.031063,,,
early_deterioration_6m,logistic,2024Q3,35354,751,2.12423,0.721499,0.057849,0.022206,,,
early_deterioration_6m,logistic,all_q3_top_5%,122297,16095,13.16058,,,,13.16058,25.90661,0.09771573604060914
early_deterioration_6m,xgboost,all_q3,2445935,62127,2.54001,0.777883,0.100988,0.02376,,,
early_deterioration_6m,xgboost,2006Q3,135415,9680,7.1484,0.743112,0.165848,0.063186,,,
early_deterioration_6m,xgboost,2008Q3,135589,8884,6.55215,0.739532,0.155938,0.058318,,,
early_deterioration_6m,xgboost,2012Q3,581288,7188,1.23656,0.741756,0.047876,0.01204,,,
early_deterioration_6m,xgboost,2014Q3,224713,5769,2.56727,0.74192,0.080386,0.024346,,,
early_deterioration_6m,xgboost,2016Q3,400126,8795,2.19806,0.74617,0.076579,0.020906,,,
early_deterioration_6m,xgboost,2018Q3,160530,6826,4.25216,0.733969,0.108698,0.039326,,,
early_deterioration_6m,xgboost,2020Q3,646483,10093,1.56122,0.721936,0.04873,0.015126,,,
early_deterioration_6m,xgboost,2022Q3,126437,4141,3.27515,0.74762,0.09712,0.030823,,,
early_deterioration_6m,xgboost,2024Q3,35354,751,2.12423,0.711642,0.0493,0.023449,,,
early_deterioration_6m,xgboost,all_q3_top_5%,122297,16125,13.18511,,,,13.18511,25.9549,0.10096213966608047
