target,model,bin,mean_predicted_probability,observed_event_rate
formal_adverse_6m,logistic,1,0.0006649996493511054,0.00025129426763043804
formal_adverse_6m,logistic,2,0.001014198782961298,0.00011867323325223996
formal_adverse_6m,logistic,3,0.0018003869735707325,0.0006149487830578156
formal_adverse_6m,logistic,4,0.0024009386359869767,0.0008733273773075418
formal_adverse_6m,logistic,5,0.0030295436566033485,0.001232964254456037
formal_adverse_6m,logistic,6,0.004444876262904857,0.0019853779189602074
formal_adverse_6m,logistic,7,0.006563593851238788,0.0028062705631894717
formal_adverse_6m,logistic,8,0.010055003041437345,0.0041222491650272225
formal_adverse_6m,logistic,9,0.015980785021649454,0.007173697761933056
formal_adverse_6m,logistic,10,0.07398478076686431,0.05419293722323754
formal_adverse_6m,xgboost,1,0.001393666853206809,0.0001554496770532959
formal_adverse_6m,xgboost,2,0.0026648886310899865,0.0003942851098068003
formal_adverse_6m,xgboost,3,0.003637255323728108,0.000717239425145883
formal_adverse_6m,xgboost,4,0.004468412332326246,0.0007933010136624063
formal_adverse_6m,xgboost,5,0.004671992962720334,0.0011258781849842877
formal_adverse_6m,xgboost,6,0.005307624807796589,0.0021573917699880545
formal_adverse_6m,xgboost,7,0.00933127391079428,0.004084710993121757
formal_adverse_6m,xgboost,8,0.012086010172317684,0.006300501176229927
formal_adverse_6m,xgboost,9,0.08854167187133029,0.052065422175418964
