target,model,scope,rows,events,event_rate_pct,roc_auc,pr_auc,brier_calibrated,precision_pct,recall_pct,threshold_score
formal_adverse_6m,logistic,all_q3,2473005,16791,0.67897,0.906899,0.236654,0.005694,,,
formal_adverse_6m,logistic,2006Q3,141555,3511,2.48031,0.886104,0.304807,0.020465,,,
formal_adverse_6m,logistic,2008Q3,141236,3280,2.32235,0.882984,0.294344,0.018775,,,
formal_adverse_6m,logistic,2012Q3,583834,1189,0.20365,0.880132,0.196987,0.001802,,,
formal_adverse_6m,logistic,2014Q3,227046,1126,0.49593,0.869178,0.205257,0.004241,,,
formal_adverse_6m,logistic,2016Q3,403419,2209,0.54757,0.874003,0.228578,0.004691,,,
formal_adverse_6m,logistic,2018Q3,163218,2516,1.5415,0.863974,0.277362,0.012364,,,
formal_adverse_6m,logistic,2020Q3,649390,1706,0.26271,0.894746,0.247239,0.002283,,,
formal_adverse_6m,logistic,2022Q3,127862,1100,0.8603,0.876451,0.266124,0.007136,,,
formal_adverse_6m,logistic,2024Q3,35445,154,0.43448,0.881468,0.253587,0.005949,,,
formal_adverse_6m,logistic,all_q3_top_1%,24730,7683,31.06753,,,,31.06753,45.75666,0.14847161572052403
formal_adverse_6m,xgboost,all_q3,2473005,16791,0.67897,0.915456,0.326281,0.005499,,,
formal_adverse_6m,xgboost,2006Q3,141555,3511,2.48031,0.901023,0.387172,0.019836,,,
formal_adverse_6m,xgboost,2008Q3,141236,3280,2.32235,0.893103,0.391266,0.018606,,,
formal_adverse_6m,xgboost,2012Q3,583834,1189,0.20365,0.902075,0.25577,0.001649,,,
formal_adverse_6m,xgboost,2014Q3,227046,1126,0.49593,0.885055,0.262643,0.004111,,,
formal_adverse_6m,xgboost,2016Q3,403419,2209,0.54757,0.880889,0.270843,0.004346,,,
formal_adverse_6m,xgboost,2018Q3,163218,2516,1.5415,0.865292,0.332067,0.011887,,,
formal_adverse_6m,xgboost,2020Q3,649390,1706,0.26271,0.890845,0.26915,0.002096,,,
formal_adverse_6m,xgboost,2022Q3,127862,1100,0.8603,0.888522,0.331779,0.007594,,,
formal_adverse_6m,xgboost,2024Q3,35445,154,0.43448,0.887168,0.320976,0.006832,,,
formal_adverse_6m,xgboost,all_q3_top_1%,24730,8029,32.46664,,,,32.46664,47.81728,0.19026398658752441
