feature,q1_mean_abs_shap,q3_mean_abs_shap,q1_rank,q3_rank,rank_change
num__borrower_credit_score_at_origination,0.7039782,0.741979,1.0,1.0,0.0
num__original_interest_rate,0.6806479,0.6136862,2.0,2.0,0.0
num__co_borrower_credit_score_at_origination,0.15541157,0.1844783,5.0,3.0,2.0
num__loan_age,0.16268365,0.17771032,4.0,4.0,0.0
num__remaining_months_to_maturity,0.17571512,0.17297514,3.0,5.0,2.0
num__number_of_borrowers,0.12209173,0.12142794,6.0,6.0,0.0
num__debt_to_income_dti,0.09850634,0.09962252,7.0,7.0,0.0
cat__channel,0.09508273,0.09065308,8.0,8.0,0.0
num__remaining_months_to_legal_maturity,0.07793748,0.079102464,9.0,9.0,0.0
num__current_actual_upb,0.06445707,0.06579433,11.0,10.0,1.0
num__current_interest_rate,0.06629094,0.062289342,10.0,11.0,1.0
num__original_loan_to_value_ratio_ltv,0.05367577,0.05348562,13.0,12.0,1.0
cat__property_state,0.054238677,0.05314875,12.0,13.0,1.0
cat__loan_purpose,0.0432595,0.04610778,15.0,14.0,1.0
cat__property_type,0.0461347,0.042644847,14.0,15.0,1.0
cat__modification_flag,0.03500592,0.037373442,17.0,16.0,1.0
num__original_upb,0.038758725,0.036105886,16.0,17.0,1.0
num__original_combined_loan_to_value_ratio_cltv,0.028177807,0.027953457,18.0,18.0,0.0
cat__first_time_home_buyer_indicator,0.022142587,0.023076668,19.0,19.0,0.0
num__original_loan_term,0.014918614,0.014353159,20.0,20.0,0.0
cat__occupancy_status,0.006464958,0.0071173385,21.0,21.0,0.0
num__mortgage_insurance_percentage,0.0039834348,0.004012223,22.0,22.0,0.0
cat__number_of_units,0.0026612137,0.0024124975,23.0,23.0,0.0
cat__amortization_type,0.0,0.0,24.0,24.0,0.0
cat__current_loan_delinquency_status,0.0,0.0,24.0,24.0,0.0
