feature,q1_mean_abs_shap,q3_mean_abs_shap,q1_rank,q3_rank,rank_change
num__original_interest_rate,1.5057541,1.3539464,1.0,1.0,0.0
cat__current_loan_delinquency_status,1.1073575,1.0985587,2.0,2.0,0.0
num__borrower_credit_score_at_origination,0.4924276,0.4929219,3.0,3.0,0.0
num__loan_age,0.2425324,0.28849283,4.0,4.0,0.0
num__remaining_months_to_maturity,0.2416835,0.24097715,5.0,5.0,0.0
num__number_of_borrowers,0.21078362,0.21117668,7.0,6.0,1.0
num__current_interest_rate,0.23089536,0.20716333,6.0,7.0,1.0
num__co_borrower_credit_score_at_origination,0.18868428,0.20681453,8.0,8.0,0.0
num__debt_to_income_dti,0.17821477,0.18130869,9.0,9.0,0.0
num__original_combined_loan_to_value_ratio_cltv,0.17708927,0.1655373,10.0,10.0,0.0
cat__property_state,0.12477414,0.1333904,13.0,11.0,2.0
cat__loan_purpose,0.12553017,0.12756765,12.0,12.0,0.0
num__original_loan_to_value_ratio_ltv,0.12692055,0.12158988,11.0,13.0,2.0
num__remaining_months_to_legal_maturity,0.09589683,0.105864234,14.0,14.0,0.0
num__current_actual_upb,0.087667696,0.0975039,15.0,15.0,0.0
cat__modification_flag,0.059802014,0.05894887,16.0,16.0,0.0
num__original_upb,0.05675121,0.051240474,17.0,17.0,0.0
cat__channel,0.03601917,0.036631577,18.0,18.0,0.0
cat__occupancy_status,0.0236915,0.021159599,19.0,19.0,0.0
num__original_loan_term,0.01532099,0.015754545,20.0,20.0,0.0
cat__property_type,0.014643106,0.012552673,21.0,21.0,0.0
cat__first_time_home_buyer_indicator,0.01118015,0.011652805,22.0,22.0,0.0
num__mortgage_insurance_percentage,0.0024156685,0.0025051164,23.0,23.0,0.0
cat__number_of_units,0.0014674307,0.0014727729,24.0,24.0,0.0
cat__amortization_type,0.0,0.0,25.0,25.0,0.0
