split,acquisition_cohort,candidate_loan_month_rows,formal_6m_eligible_rows,early_6m_eligible_rows
out_of_time_test,2006Q1,527897,463955,445976
out_of_time_test,2008Q1,864311,746858,717747
out_of_time_test,2012Q1,7169256,6489208,6445090
out_of_time_test,2016Q1,6801647,6146225,6070994
out_of_time_test,2020Q1,18852640,17077961,16926783
out_of_time_test,2022Q1,32734380,31789874,31488611
out_of_time_test,2024Q1,3523746,3256492,3235803
train,2006Q1,16508410,14526242,14011240
train,2008Q1,19708019,16715534,16030834
train,2012Q1,29022933,26988572,26899478
train,2016Q1,4338015,4080076,4067169
validation,2006Q1,1122931,960152,895990
validation,2008Q1,1779578,1524030,1418517
validation,2012Q1,13692517,12482282,12395795
validation,2016Q1,14496172,13064064,12931753
validation,2020Q1,7105412,5685970,5595915
